city,region,latitude,longitude,accuracy.meters,year,flag,inat.person,notes,hyperlink,ID
gallatin county,montana,45.61474,-111.161395,2700,2022,,afidnotorchids,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/122526470,122526470
peel,ontario,43.547837,-79.672267,2700,2022,,wild_explorer,coordinate precision low; obscured by user,https://www.inaturalist.org/observations/120599664,120599664
lincoln county,maine,43.898208,-69.732934,2700,2022,,michaela_maple,different color break,https://www.inaturalist.org/observations/123615331,123615331
lemont,pennsylvania,40.810616,-77.818334,2260,2022,,curiousmisscritter,checked,https://www.inaturalist.org/observations/118700158,118700158
heath,ohio,39.982162,-82.436219,999,2022,,miss_stephanie,revised coord precision based on written description,https://www.inaturalist.org/observations/117797687,117797687
toronto,ontario,43.818027,-79.173315,1380,2022,,brent_isojima,checked,https://www.inaturalist.org/observations/122514265,122514265
richmand,indiana,39.831648,-84.918388,977,2022,,casbowman,,https://www.inaturalist.org/observations/116197032,116197032
mecklenburg,new york,42.461408,-76.70485,900,2022,,star_jasmine,,https://www.inaturalist.org/observations/118262824,118262824
montgomory ,pennsylvania,40.26788,-75.457564,758,2022,,linkmdavis,,https://www.inaturalist.org/observations/119646471,119646471
hatfield,pennsylvania,40.26788,-75.457564,758,2022,,linkmdavis,,https://www.inaturalist.org/observations/119646471,119646471
miami township,ohio,39.816191,-83.888215,699,2022,,luckiirue,,https://www.inaturalist.org/observations/119370183,119370183
miami township,ohio,39.816191,-83.888215,699,2022,,luckiirue,,https://www.inaturalist.org/observations/119370183,119370183
petoskey,michigan,45.366165,-84.962886,671,2022,,friendofnature2,,https://www.inaturalist.org/observations/121120380,121120380
monaca,pennsylvania,40.693787,-80.294175,671,2022,,toucan55,,https://www.inaturalist.org/observations/116622203,116622203
bridgewater,pennsylvania,40.693787,-80.294175,671,2022,,toucan55,,https://www.inaturalist.org/observations/116622203,116622203
lake ariel,pennsylvania,41.437069,-75.37403,514,2022,remove? Cut flowers,mrsmcclellan,,https://www.inaturalist.org/observations/119270738,119270738
mecklenburg,new york,42.461408,-76.70485,500,2022,,star_jasmine,,https://www.inaturalist.org/observations/118262824,118262824
menomeonee falls,wisconsin,43.158006,-88.173985,489,2022,,chdphoto,,https://www.inaturalist.org/observations/118588825,118588825
sussex,wisconsin,43.158006,-88.173985,489,2022,,chdphoto,,https://www.inaturalist.org/observations/118588825,118588825
campton hills,illinois,41.949387,-88.401692,478,2022,,jenniferannifer,,https://www.inaturalist.org/observations/118436928,118436928
campton hills,illinois,41.949387,-88.401692,478,2022,,jenniferannifer,,https://www.inaturalist.org/observations/118436928,118436928
easton,pennsylvania,40.667887,-75.185408,357,2022,,ken_davis,,https://www.inaturalist.org/observations/116762047,116762047
easton,pennsylvania,40.667887,-75.185408,357,2022,,ken_davis,,https://www.inaturalist.org/observations/116762047,116762047
lahaska,pennsylvania,40.354327,-74.988505,308,2022,,soilsflutterby,,https://www.inaturalist.org/observations/119635005,119635005
new hope,pennsylvania,40.354327,-74.988505,308,2022,,soilsflutterby,,https://www.inaturalist.org/observations/119635005,119635005
rothrock state forest,pennsylvania,40.71691,-77.894124,302,2022,,kyleamattis,,https://www.inaturalist.org/observations/118852230,118852230
yellow springs,ohio,39.803909,-83.87718,284,2022,,kqmazur,,https://www.inaturalist.org/observations/117944917,117944917
yellow springs,ohio,39.803909,-83.87718,284,2022,,kqmazur,,https://www.inaturalist.org/observations/117944917,117944917
milford,pennsylvania,41.310421,-74.796784,255,2022,,kmole,,https://www.inaturalist.org/observations/118422880,118422880
delaware water gap,pennsylvania,41.310421,-74.796784,255,2022,,kmole,,https://www.inaturalist.org/observations/118422880,118422880
ann arbor,michigan,42.304946,-83.742778,249,2022,,julieboolie,,https://www.inaturalist.org/observations/118710921,118710921
ann arbor,michigan,42.304946,-83.742778,249,2022,,julieboolie,,https://www.inaturalist.org/observations/118710921,118710921
victor,new york,43.018666,-77.280412,237,2022,,erin_lord_astles,,https://www.inaturalist.org/observations/118729704,118729704
victor,new york,43.018666,-77.280412,237,2022,,erin_lord_astles,,https://www.inaturalist.org/observations/118729704,118729704
monongahela,pennsylvania,40.200833,-79.977389,222,2022,,mentiant,,https://www.inaturalist.org/observations/118641228,118641228
monongahela,pennsylvania,40.200833,-79.977389,222,2022,,mentiant,,https://www.inaturalist.org/observations/118641228,118641228
cascade locks,oregon,45.626225,-121.952905,212,2022,,dysnomia,,https://www.inaturalist.org/observations/123087472,123087472
beaver county,pennsylvania,40.63453,-80.180423,189,2022,,sheila257,,https://www.inaturalist.org/observations/119101709,119101709
mccandless,pennsylvania,40.63453,-80.180423,189,2022,,sheila257,,https://www.inaturalist.org/observations/119101709,119101709
york,ontario,44.321956,-79.325432,189,2022,,csibbald,,https://www.inaturalist.org/observations/120061304,120061304
allegheny county,pennsylvania,40.436696,-79.944755,188,2022,,woodlandpaths,,https://www.inaturalist.org/observations/118999909,118999909
pittsburg,pennsylvania,40.441994,-79.927131,188,2022,,woodlandpaths,,https://www.inaturalist.org/observations/118999923,118999923
wellington,ontario,43.612937,-80.147753,187,2022,,mary_ann_meyer,,https://www.inaturalist.org/observations/119362158,119362158
rockwood,ontario,43.612937,-80.147753,187,2022,,mary_ann_meyer,,https://www.inaturalist.org/observations/119362158,119362158
williamsport,maryland,39.576062,-77.754102,163,2022,,kmrogers,,https://www.inaturalist.org/observations/117127660,117127660
st. james,maryland,39.576062,-77.754102,163,2022,,kmrogers,,https://www.inaturalist.org/observations/117127660,117127660
canton,ohio,40.829211,-81.310469,158,2022,,benniesaylor,,https://www.inaturalist.org/observations/120355829,120355829
brandon,iowa,42.299989,-92.056892,157,2022,possible coinfection,criddibean,,https://www.inaturalist.org/observations/132771037,132771037
brandon,iowa,42.299989,-92.056892,157,2022,,criddibean,,https://www.inaturalist.org/observations/132771037,132771037
